Standard Name,Scientific Name,Authority,CAAB Code,Family or Group,Date Added,Imported Only
Angel Shark,Squatina spp.,,37 024900,Squatinidae (Angelsharks),01/01/2002,
Blacktip Shark,"Carcharhinus, Loxodon & Rhizoprionodon spp.",,37 018901,Carcharhinidae (Whaler Sharks),01/01/2002,
Blue Shark,Prionace glauca,"(Linnaeus, 1758)",37 018004,Carcharhinidae (Whaler Sharks),08/03/2005,
Broadnose Shark,Notorynchus cepedianus,"(Péron, 1807)",37 005002,Hexanchidae (Cowsharks),,
Bronze Whaler Shark,Carcharhinus brachyurus & Carcharhinus obscurus,,37 018902,Carcharhinidae (Whaler Sharks),01/01/2002,
Eagle Ray,Myliobatidae,,37 039000,Myliobatidae (Eagle Rays),Provisional name,
Elephantfish,Callorhinchus milii,"(Bory de Saint-Vincent, 1823)",37 043001,Callorhinchidae (Elephantfishes),01/01/2002,
Endeavour Dogfish,"Centrophorus harrissoni, Centrophorus moluccensis & Centrophorus uyato",,37 020902,Centrophoridae (Gulper Sharks),01/01/2002,
Ghostshark,Chimaeridae,,37 042000,Chimaeridae (Shortnose Chimaeras),01/01/2002,
Greeneye Dogfish,Squalus spp.,,37 020901,Squalidae (Dogfishes),01/01/2002,
Guitarfish,Rhinobatidae & Rhinidae spp.,,37 990013,Fishes (multi-family groups),01/01/2002,
Gummy Shark,Mustelus spp.,,37 017901,Triakidae (Hound Sharks),01/01/2002,
Indian Dogshark,Scoliodon laticaudus,"Müller & Henle, 1838",37 018790,Carcharhinidae (Whaler Sharks),07/10/2002,I
Ray,"Dasyatidae, Gymnuridae, Myliobatidae & Urolophidae spp.",,37 990001,Fishes (multi-family groups),01/01/2002,
Roughskin Dogfish,"Centroscymnus, Centroselachus, Deania & Scymnodon spp.",,37 020904,,01/01/2002,
Sawshark,Pristiophorus spp.,,37 023900,Pristiophoridae (Sawsharks),01/01/2002,
School Shark,Galeorhinus galeus,"(Linnaeus, 1758)",37 017008,Triakidae (Hound Sharks),01/01/2002,
Shortfin Mako,Isurus oxyrinchus,"Rafinesque, 1810",37 010001,Lamnidae (Mackerel Sharks),31/05/2006,
Shovelnose Ray,Aptychotrema & Rhinobatos spp.,,37 027902,Rhinobatidae (Guitarfishes),Provisional name,
Skate,"Rajidae, Arhynchobatidae",,37 031000,Rajidae (Skates),01/01/2002,
Spikey Dogfish,Squalus megalops,"(Macleay, 1881)",37 020006,Squalidae (Dogfishes),01/01/2002,
Whiskery Shark,Furgaleus macki,"(Whitley, 1943)",37 017003,Triakidae (Hound Sharks),01/01/2002,
Whitespotted Dogfish,Squalus acanthias,"Linnaeus, 1758",37 020008,Squalidae (Dogfishes),01/01/2002,
Whitespotted Guitarfish,Rhynchobatus spp.,,37 026900,Rhynchobatidae (Wedgefishes),Provisional name,
Wobbegong,Orectolobidae,,37 013900,Orectolobidae (Wobbegongs),31/05/2006,
Alaskan Pollock,Theragra chalcogramma,"(Pallas, 1811)",37 226793,Gadidae (Cods),29/04/2002,I
Albacore,Thunnus alalunga,"(Bonnaterre, 1788)",37 441005,Scombridae (Mackerels),01/01/2002,
Alfonsino,Beryx splendens,"Lowe, 1834",37 258002,Berycidae (Alfonsinos),01/01/2002,
Anchovy,Engraulidae - undifferentiated,,37 086000,Engraulidae (Anchovies),29/04/2002,
Armour Gurnard,Peristediidae - undifferentiated,,37 288902,Peristediidae (Armour Gurnards),Provisional name,
Arrowtooth Flounder,Atheresthes spp.,,37 461795,Pleuronectidae (Righteye Flounders),07/10/2002,I
Asian Seabass,Lateolabrax spp.,,37 311750,Moronidae (Seabasses),04/03/2004,I
Asian Whitebait,Salangidae (imported species),,37 100750,Salangidae (Noodlefishes),01/01/2002,I
Atlantic Cod,Gadus morhua,"Linnaeus, 1758",37 226790,Gadidae (Cods),07/10/2002,I
Atlantic Mackerel,Scomber scombrus,"Linnaeus, 1758",37 441790,Scombridae (Mackerels),01/01/2002,I
Atlantic Ocean Perch,"Sebastes marinus, Sebastes mentella & Sebastes viviparus",,37 287790,Sebastidae (Ocean Perches),07/10/2002,I
Atlantic Salmon,Salmo salar,"Linnaeus, 1758",37 094001,Salmonidae (Salmons),01/01/2002,
Australian Anchovy,Engraulis australis,"(White, 1790)",37 086001,Engraulidae (Anchovies),29/04/2002,
Australian Bass,Macquaria novemaculeata,"(Steindachner, 1866)",37 311034,Percichthyidae (Temperate Basses),01/01/2002,
Australian Halibut,Psettodes erumei,"(Bloch & Schneider, 1801)",37 457001,Psettodidae (Halibuts),01/01/2002,
Australian Herring,Arripis georgianus,"(Valenciennes, 1831)",37 344001,Arripidae (Australian Salmons),01/01/2002,
Australian Salmon,Arripis trutta & Arripis truttaceus,,37 344900,Arripidae (Australian Salmons),01/01/2002,
Australian Sardine,Sardinops sagax,"(Jenyns, 1842)",37 085002,Clupeidae (Herrings),31/05/2006,
Baldchin Groper,Choerodon rubescens,"(Günther, 1862)",37 384039,Labridae (Wrasses),01/01/2002,
Banded Morwong,Cheilodactylus spectabilis,"(Hutton, 1872)",37 377006,Cheilodactylidae (Morwongs),01/01/2002,
Bar Rockcod,Epinephelus ergastularius & Epinephelus septemfasciatus,,37 311910,Serranidae (Rockcods),01/01/2002,
Barb,Barbonymus spp.,,37 165750,Cyprinidae (Carps),29/04/2002,I
Barracouta,Thyrsites atun,"(Euphrasen, 1791)",37 439001,Gempylidae (Gemfishes),01/01/2002,
Barramundi,Lates calcarifer,"(Bloch, 1790)",37 310006,Latidae (Giant Perches),01/01/2002,
Barramundi Cod,Chromileptes altivelis,"(Valenciennes, 1828)",37 311044,Serranidae (Rockcods),01/01/2002,
